CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
0ee5dfac99470594c2cdc2e3b8fa9114,70,0,67666.67,12/31/2015 6:00:00 AM,SGfVEboRcT1XYitd5qhg7waB219AYdC4mU,True,1,
0ef587c26de744b0e0a2579a472b41c7,0,0,0,12/31/2015 6:00:00 AM,SE15dDyNv4PVAopFuw5gkqZYw6gBzgZNGb,True,1,
0eff9782d1abbed0ee827e4017bbed55,120,0,862666.67,12/31/2015 6:00:00 AM,SJLrxMbBJ7Ag56zdS5SkWWy2hCqENMyYcN,True,1,
0f8aded56ee74bf3e64ef964e5fec324,0,0,16.25,12/31/2015 6:00:00 AM,RzhNaT3KBaDraSfkndU6WaaXCZ3sNDfgvF,True,1,
0fbbe5fede63a87c7f4b19905968ff9c,45,0,206666.67,12/31/2015 6:00:00 AM,SE6LmBPS8BXVXkXU8dYwBC2BdJH173k93L,True,1,
0fc637e3216f1c44a1f91c4b12a78165,1.25,0,1520,12/31/2015 6:00:00 AM,SBzrFpgmsR5xsUVakZiJxpzhRzccE4iFuy,True,1,
10020d6a3e0d44c980ba15ab631ec464,0,0,20,12/31/2015 6:00:00 AM,S4ZBwH3mdzgpYSornJsJPWFZJoi6zsVgV7,True,1,
100628150bc92249fc94eeb056a8073e,80,0,742000,12/31/2015 6:00:00 AM,SLmZtqBY3cAEgfzMVNr3mr77R4HvmEkuGi,True,1,
1022caa57752d1ed254a2df1b2881bf5,1.25,0,225,12/31/2015 6:00:00 AM,SE7tkWpCXP7JXo8TtLj2iPtVzXYLsTFXct,True,1,
1092ce0f420fbfed55becc569833b143,0,0,0,12/31/2015 6:00:00 AM,SKsz8MUoifN9WJLDWpr5cS3UEj4ciJwrW9,True,1,
111f10eec51bcbd7aa20069152513617,1.25,0,3640,12/31/2015 6:00:00 AM,SD7iekatZWzbgn3Z6bVcXCnnw74H8yM8He,True,1,
11320f149f742cef58a1bef1195b4929,250,0,37333.33,12/31/2015 6:00:00 AM,SFmWnT6y1ghzTn1hFpD69exBiz5bFtRiam,True,1,
113360f4c0a0eff33f190484b388e703,110,0,7640,12/31/2015 6:00:00 AM,SC3wH7zGH4wKPPgNJKZ4in5RGp4xvDUiKT,True,1,
115c0345fb3725ca54b895e3011febe4,0,0,0,12/31/2015 6:00:00 AM,S1LKTZwpxKzeuf54Kq4fhRC3HEaex1fFsN,True,1,
1176d3d4729c3f3dcde0cf6c8ee54f4f,0,0,0,12/31/2015 6:00:00 AM,SEYSoe76A7NQdfvH7ZGPo1g6ureeo5uYTB,True,1,
119a55c3317899b497b7d86cdf77988f,15,0,26500,12/31/2015 6:00:00 AM,SJMs7Gv2d34HLRimHLpwEmCq3UwgvrWLRw,True,1,
11e1f64ea1ab2d83564092ba49716ecd,5,0,1400,12/31/2015 6:00:00 AM,SC4BGPmoEbmL6p3hQ2dmFdCBQMTUXWAJiR,True,1,
11ebf3fb7219c0c46b6bfcb166144c4a,155,0,95666.67,12/31/2015 6:00:00 AM,S4f8FfsKekLAKMYLrVFmJ66Mmk639AkSLF,True,1,
11ec7fb00a855d72e34bf9511854265d,100,0,7000,12/31/2015 6:00:00 AM,S9atffo6LFbGhXmWyfhimcU944av8MY4ui,True,1,
11fe6547462a7818f0eb91bec2fc308d,17.5,0,1480,12/31/2015 6:00:00 AM,S1s5QkhmNmzCTDX57TMvYYdqnsfKtxw9k5,True,1,
122712328881f705a4af2ea74c419969,15,0,395,12/31/2015 6:00:00 AM,SC9VSzuUUnWdK8XpkXvddU9mGfAXGgVeoK,True,1,
1227160a21b034c0a0ed0e7593ded1ca,0,0,35,12/31/2015 6:00:00 AM,S2GfKoviWqDmT8umZLnKYeM59PZhj4TGyg,True,1,
128d5706f5bdc3b116e18d3c8513c83c,0,0,0,12/31/2015 6:00:00 AM,SD27VowDceMK8xZBmuU9rJfn1kFVjBQASo,True,1,
12a05565203651fd41065a8ee9c36146,0,0,20,12/31/2015 6:00:00 AM,RxdjLrJbUZYMqzUeTEp7UbTT66SCSPJFpP,True,1,
12d8c99e1b7623db14196bfb9bcc7347,5,0,245,12/31/2015 6:00:00 AM,S6RizLyWqTYHA7Yoqae6SAiGeA4p2z7147,True,1,
1344072578dc432ee67daf4a467e81b8,0,0,0,12/31/2015 6:00:00 AM,SLEkhhvJReT65gfiBbVkNrFgytkrFQQNMD,True,1,
13460ee0e247994f82e06a17f87ee846,30,0,17500,12/31/2015 6:00:00 AM,RyMdFTruNrsJyfLG1qdFmWmbKCxcLuB51t,True,1,
13b7ae6f668e71024ca44cf194d05379,0,0,0,12/31/2015 6:00:00 AM,S1Wh2toarzkUYgmbtRYUkfarQoAGfzfJ2A,True,1,
13ba18d2b5b412d81bd8b8fab698d469,1440,0,5610000,12/31/2015 6:00:00 AM,SAwMsS2K3LTNoHyky45S69qFn6bV6KnShK,True,1,
1440d0588d7308f10134070b9c7cefe9,22.5,0,11500,12/31/2015 6:00:00 AM,RzEjGESbZzxDRpbryAR5FcHzCoPyNZmjH3,True,1,
147a12347a68b5638bb341253395d707,95,0,149333.33,12/31/2015 6:00:00 AM,SKTUGJjgjDWQpoKwZSUcW4sxgzjoPy39jm,True,1,
148d384e0d6f6371aff21a8fb6b8038e,6.25,0,6640,12/31/2015 6:00:00 AM,S19U6s4BpBzieYRrE7aqUT6R1Si3mYQzBU,True,1,
149fb09c769eead95839a9cc0a6262f6,0,0,1080,12/31/2015 6:00:00 AM,RxKbkyTSCLJDjvmbt6sX8Gt7Cfg9wV4eyd,True,1,
14fa2446e248dd73d03fbb00a7007bfe,1.25,0,35,12/31/2015 6:00:00 AM,S2h9irKTFLNJR7ddUQxt6xM7wEKWA6MByq,True,1,
14fb159a8e45726982a34b33a9121263,8.75,0,8440,12/31/2015 6:00:00 AM,S7Wyzt6dJP8cHcDzRmsFZzWArBjgRX5SPa,True,1,
152c9aceac62700871dd29a7af7ddd12,1.25,0,355,12/31/2015 6:00:00 AM,RxhtRd56WTKberJEAtmmcfVSQikBAvMiUx,True,1,
1546f3fecc085227b3eaaa87485c9c1d,190,0,35000,12/31/2015 6:00:00 AM,Ry2S6pM3UcpzgNQeX7udJAEYXYTudD6cJ1,True,1,
154ee375de9d845455e79c94e1586f82,115,0,168000,12/31/2015 6:00:00 AM,S7kwSrt84UKMemrsRFLh3sbspd5SPM3reR,True,1,
15617a4a4408d28b8128c035e86057b6,1.25,0,600,12/31/2015 6:00:00 AM,SE5ehepuk7penLim4difEe4bArnyyLyiXb,True,1,
1568aa169da1d33a9fcc595243f45557,0,0,0,12/31/2015 6:00:00 AM,RzvC3G8mtsdEadX9yCzFznBBzQPXMQgGcx,True,1,
157fd6f6689a119e3a1cedc3bdc43f62,6.25,0,2920,12/31/2015 6:00:00 AM,S8WhTdUvtHQYjJz6uCKgTeQZFoxKNKVT1V,True,1,
