CPID,LocalMagnitude,NeuralMagnitude,TotalRAC,Synced Til,Address,CPID_Valid,Witnesses
0639771c67d7f228d327c2984b465560,20,20,3240,5/9/2016 6:00:00 AM,S6zAi1tcRdSR3nbf7Bkf1MvA56dr3ErNXV,True,1,
065a29ca1d5da8f514115bf11e1df1b2,30,30,88666.67,5/9/2016 6:00:00 AM,SC1SBV4HKmQjLQyKpSFgQunFbT4dr2ENbE,True,1,
066994a05593c8748dfab672cde55166,0,0,225,5/9/2016 6:00:00 AM,RyhHd6BWEsi1cv28q5MT3KS78ZJy3wDPUM,True,1,
0675bdf24f13acfa4970852defbc84fb,23.75,23.75,51666.67,5/9/2016 6:00:00 AM,S2uHuRSwE7p58AFYWFcmDs4k5a2a4eFaXF,True,1,
0690fa324fcfa09b170c3dac1d01c677,0,0,0,5/9/2016 6:00:00 AM,SLqVixc7qfZBnU1UX1gB6zvMvLcdjDXt4B,True,1,
06c52d8ad2ce85b970137e39386cd4c4,15,15,36833.33,5/9/2016 6:00:00 AM,SKSEW5g8xN6NCQBDvPYqAngqAfhBmPKGBp,True,1,
06ec1b4b9220c928fc7c38a441d3cd75,0,0,0,5/9/2016 6:00:00 AM,SMHwjqgRW9ZSefxPdPE9J3TUkFxyPzRXn1,True,1,
0722362ac3db0c9f863e9f51d7df0138,0,0,0,5/9/2016 6:00:00 AM,SEnACYoP3ZpvwuXsFVbdqEijWPHK7AT9KX,True,1,
073465713644785991e9cb04061799ab,0,0,0,5/9/2016 6:00:00 AM,SAqC6YpDn1uuo4w7LvJo4XNyPHRqyuXVea,True,1,
0759abee3fcb6b284c0f0618302d98ef,65,65,23833.33,5/9/2016 6:00:00 AM,S9ukFU2CBc5AhwFUR3dvQgkqWY7ETECE29,True,1,
0776264b1a2ac2a5895fe664a7efde0d,0,0,0,5/9/2016 6:00:00 AM,RyYuBPvQ7rg6ZVjr9xxra5Cdgep1TMA1dY,True,1,
0780fcc24c13cd5978a9ed4933a4d518,25,25,1760,5/9/2016 6:00:00 AM,SB6xyttK2cYjZ9JpNv4Qi38QuxtpdVtGcY,True,1,
07953c10f650aa358ca6c950c6c435d3,0,0,0,5/9/2016 6:00:00 AM,SLcaNPbDkmHYh7RasaZNHuEMxxsFBrFLXL,True,1,
07a8937d4840dacadea60ddc86fa7ba3,0,0,0,5/9/2016 6:00:00 AM,SHBQWzJH6saKxZSszwEVN5UqU98xEKDU2a,True,1,
07a9431ab6ada06981769ab6cf0be185,0,0,640,5/9/2016 6:00:00 AM,S9qmkZUR8T8nH2Y4djLrZFv8dTEJsmVKqj,True,1,
07b8ee3d068079f572b72c60043cb85e,165,165,254666.67,5/9/2016 6:00:00 AM,SCkLS2UqEjNvVhzgrjTvFVKzerVZmqNbai,True,1,
07c7440f2f859d897e2eaa5934dd78dd,0,0,0,5/9/2016 6:00:00 AM,SJJGtJkviHBys8QpvetY2cZ8Dk9wvbEpSh,True,1,
07d49f2388664ceb0d517a0d417d4355,1040,1040,129913460,5/9/2016 6:00:00 AM,SL872Ze34GhgzsWsr6yr4NzfQRMFrJkojz,True,1,
07eddf7186858e6e44ba714cfad8578b,130,130,86666.67,5/9/2016 6:00:00 AM,SFWoEVppKAjU8T6M4pZogJiTipbuW2xhx9,True,1,
080f79fe501c0e46aef8debf1a16470b,1.25,1.25,440,5/9/2016 6:00:00 AM,SCfRoNAsqKY3jatcKXB5RmkqdetN4ypNck,True,1,
082168e8bce4717db51c2baa6ae84552,0,0,0,5/9/2016 6:00:00 AM,Rx4zGh3QuZVeNe4ZcCX3bmtmJyAdsxNeum,True,1,
08321f22a670ce593f85cee0aceed378,35,35,65000,5/9/2016 6:00:00 AM,SLHYgCyemqrxduZBkiYjGAT8wjTrkEPpec,True,1,
086374265c4906fbf5def21b3b0c8ac3,145,145,346666.67,5/9/2016 6:00:00 AM,S3RQifjQtRBagudZ2fYCcbHDhE3Fj7GmHE,True,1,
0888dcf4d795856107f7e3ec6aa1b33d,5,5,1680,5/9/2016 6:00:00 AM,RywguQZDYneYo3QtyxLJ1aQt3NRJxqZJ1B,True,1,
08dd426f6657f40d5ae67bfc1e996f90,0,0,0,5/9/2016 6:00:00 AM,SK4vXywaAAiYJdDeXwWJmPCZKNzgc5Pwth,True,1,
0912c1e3ad952f11272a91ffafb577c2,18.75,18.75,16000,5/9/2016 6:00:00 AM,SCdT9fKM2ncHff1ije7ZaxecUgSiuG4eEQ,True,1,
092dc9a0dcd999ae7a6523477f0021a6,30,30,82666.67,5/9/2016 6:00:00 AM,S69r9WrBKoiBZwJGcE53bo2qTRicu5pZyG,True,1,
0968f3f73c358da2dd8b4854e1ede35e,45,45,89000,5/9/2016 6:00:00 AM,SM99n6QyKjZSSuRKbtfF1XWsJ4vajzq6qt,True,1,
097304832e018c455aaf8ce011748ea2,23.75,23.75,5840,5/9/2016 6:00:00 AM,SDbK14JL2xywQUmLaBTa2YMsnGMPf4cx5z,True,1,
097c16fed6eba410219b5f52f954f5b0,18.75,18.75,62666.67,5/9/2016 6:00:00 AM,S6MauhTLRGZNFem3GWowTxVmJ95u4wb4ks,True,1,
099000411e9bb05b1d93566c151abc7c,5,5,37833.33,5/9/2016 6:00:00 AM,SJXaFquz3ynayoHB6tjnfjFLTPujiTLN3c,True,1,
09b02c885360f991fd743b43ad1939d2,0,0,0,5/9/2016 6:00:00 AM,S8qcY21D2qqgRQDmQA3DjkS8Cz5PuwL429,True,1,
09bdda2bb1cb504c240e21123bad955a,0,0,0,5/9/2016 6:00:00 AM,RzNk3wmL5s9JtsP1eD4wyw21fJzMh5h4kU,True,1,
09d1b096d4e3fa8010b9e16446edbd51,0,0,0,5/9/2016 6:00:00 AM,RzxQpBN8r8DGv1K1aDyszL5njjm6r3xf6t,True,1,
09f05cf95cbe7709cc04c9672054b111,0,0,0,5/9/2016 6:00:00 AM,S9YuxxusvEB5k6AFgCBdAt8ZBHRX85H7LK,True,1,
09f1bf33e6ff75b4dd3ef008cdfa9e10,70,70,5560,5/9/2016 6:00:00 AM,S2MQXHzfCyLqSzL41JdEfyikLcpXTs8hiW,True,1,
09feedb884e76a7508f46616a173e13c,0,0,0,5/9/2016 6:00:00 AM,SLeRbvVg58BsQtSh79oJb4jiLe8m3HB2Ls,True,1,
0a1ad01694531de762a42be466947972,0,0,405,5/9/2016 6:00:00 AM,SFPhUUyYTo4XdQ2EYTUkrTf78vdxRa7BHX,True,1,
0a62fd583af1fae5c8673dc6f2201a45,5,5,1280,5/9/2016 6:00:00 AM,SHNrmtDjDbFK6Bh3PxqA5KbVXuo4Dh4qkr,True,1,
0a6430aac4c1110f38294f64516bd988,0,0,0,5/9/2016 6:00:00 AM,SCwYLYr43rvVGF4cFMCUa2KLmiZDzeRba8,True,1,
0a66e96aeb59fb5da1c2beb2598aa47f,0,0,0,5/9/2016 6:00:00 AM,Rz6VEQUNAetddesE8r7SC2Bf3dVzumnHhz,True,1,
0a7f19e446a766dc045f7c39cebd508a,80,80,9200,5/9/2016 6:00:00 AM,SFRaQgZWutKkdMejDZqaYVzWd3cdUdZ21S,True,1,
0a8d1a37461e99c2d61702857502493f,3.75,3.75,3640,5/9/2016 6:00:00 AM,SFQApWvoDudpD2qMsJJwvzZMG4D2Axqg2Q,True,1,
0a93341c56bb24f6f9a75ffb35aca5dc,0,0,0,5/9/2016 6:00:00 AM,SHz56UPTUP1Z88DyU9R6mWKtV4tzEuDZUt,True,1,
0abed5b1e4eccb3a63cd1328425a9a81,0,0,12.5,5/9/2016 6:00:00 AM,SLbcpER1QemWNK7U38A5643rYutpKaTZDU,True,1,
0add105d11302d959471f2c998f528cb,0,0,0,5/9/2016 6:00:00 AM,S1jvGQxHXMHWSh65bKQWMm3Zr8SJoarXg6,True,1,
0af824a469f2b72d413b85b4190bd236,1.25,1.25,980,5/9/2016 6:00:00 AM,S3GuqkztLW29CeqKt2Ez75ULu1tYSLK4L9,True,1,
0b0ce35f3f1edcbb1d20cdaf02a1a067,1.25,1.25,600,5/9/2016 6:00:00 AM,SD9zgnmvQU479otxHR8uxRqd2HfyUbh8MH,True,1,
0b10c2f59e32b06dba1c713d30cfdc71,0,0,0,5/9/2016 6:00:00 AM,S6p2rS64RGL3h6CYowU5rR21cnw86nh7cT,True,1,
0b1ab02f3f76523295f0774bc6d8c4cc,0,0,0,5/9/2016 6:00:00 AM,SKX2aXp4Lx5LR4MPkBH8BSCVh5tXZU73NG,True,1,
0b365d6e5c6365f94f6da0f8b61bd521,0,0,0,5/9/2016 6:00:00 AM,S5zrujB3114ezEvHDtPwAzjpiZJ9PxKPg3,True,1,
0b3e9507b7e91d1ae13ca41262fee609,350,350,268666.67,5/9/2016 6:00:00 AM,RxLKY8VkYgfVmrjPJrpic7gv8eDpkxUCNa,True,1,
